Name,Description,Link,Unit Cost in €,Quantity,Price in €,Shipping Cost,Total
Flight Controller,DarwinFPV F411 15A AIO (FC+ESC+RX) ELRS,https://www.rotorama.de/product/darwinfpv-f411-15a-aio-fc-esc-rx-elrs,"53,39","1,00","53,39",0,
Motors," Happymodel EX1204 5000KV 3S 3"" Motor",https://de.aliexpress.com/item/1005003283337242.html#nav-review,"37,79","1,00","37,79",0,
Props,Gemfan Hurricane 3016 3inch Toothpick 3X1.6X3 3-Blade PC Propeller 1.5mm 2mm Hole for RC FPV Racing Drone 1303 5000KV Motor 6 pairs,https://de.aliexpress.com/item/1005003324572840.html?spm=a2g0o.productlist.main.2.61b5yrDIyrDIvh&algo_pvid=f28456d4-c677-49a9-b3e7-397fdbcc379d&algo_exp_id=f28456d4-c677-49a9-b3e7-397fdbcc379d-1&pdp_ext_f=%7B%22order%22%3A%22240%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21EUR%217.89%214.09%21%21%218.97%214.65%21%402103894417801379802454869e2ebf%2112000025216462512%21sea%21DE%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A3d5500f9%3Bm03_new_user%3A-29895%3BpisId%3A5000000207164171&curPageLogUid=U8GL3VqOsc0h&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005003324572840%7C_p_origin_prod%3A,"7,89","1,00","7,89",0,
Battery,Tattu 3S Lipo Battery 850 mAh 11.1 V 150C 3S1P Battery with XT30 Connector for 3 to 5 Inch FPV Drones ,https://www.amazon.de/TATTU-850mAh-Battery-Stecker-Drohnen/dp/B0CXDKXJLP,"23,99","1,00","23,99",0,
Resberry Pi Zero 2 W,Resberry Pi Zero 2 W,https://www.pi-shop.ch/raspberry-pi-zero-2-w,"19,53","1,00","19,53","13,5",
Camera,130° 8MP Camera,https://de.aliexpress.com/item/1005007274396582.html#nav-review,"8,11","1,00","8,11",0,
ToF Sensor,VL53L0X Time-of-Flight (ToF) Laser Ranging Sensor Breakout 940nm GY-VL53L0XV2 Laser Distance Module I2C IIC 3.3V/5V ,https://de.aliexpress.com/item/1005008557812009.html?spm=a2g0o.productlist.main.27.6abfQS95QS95hM&utparam-url=scene%3Asearch%7Cquery_from%3Apc_back_same_best%7Cx_object_id%3A1005008557812009%7C_p_origin_prod%3A1005008119148487&algo_pvid=e01a8b44-e99a-49c0-bc7c-56e6531111d4&algo_exp_id=e01a8b44-e99a-49c0-bc7c-56e6531111d4&pdp_ext_f=%7B%22order%22%3A%222421%22%2C%22orig_sl_item_id%22%3A%221005008557812009%22%2C%22orig_item_id%22%3A%221005008119148487%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21EUR%213.10%211.49%21%21%2124.20%2111.63%21%40211b80e117769604018507112e6e60%2112000045701745211%21sea%21DE%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A3d5500f9%3Bm03_new_user%3A-29895,"3,24","4,00","12,96",0,
PCB,4 Layer costum PCB,https://cart.jlcpcb.com/quote?stencilLayer=4&stencilWidth=100&stencilLength=100&stencilCounts=5&plateType=1&spm=Jlcpcb.Homepage.1010,"5,99","1,00","5,99","7,81",
Resberry Pi Pin Header,BOOMELE(Boom Precision Elec) 2.54-2*20P,https://www.lcsc.com/product-detail/Female-Headers_BOOMELE-Boom-Precision-Elec-C50982_C50982.html?utm_source=chatgpt.com,"0,26","5,00","1,29","18,91",
Screw 6mm,50pcs Black 304 Stainless Steel Cross Phillips Ultra Thin Flat Wafer Head Screw CM M2 6mm,https://de.aliexpress.com/item/1005005618746295.html?spm=a2g0o.productlist.main.4.63914114lCoKUt&aem_p4p_detail=2026053006473720192082799637320000455199&algo_pvid=0870b828-57f4-460e-bb4d-24d66ea42b43&algo_exp_id=0870b828-57f4-460e-bb4d-24d66ea42b43-3&pdp_ext_f=%7B%22order%22%3A%227781%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21EUR%211.84%210.99%21%21%2114.15%217.61%21%40211b815c17801488578784923e56a8%2112000033767212213%21sea%21DE%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A3d5500f9%3Bm03_new_user%3A-29895%3BpisId%3A5000000207164174&curPageLogUid=XxoNdmk6hDMY&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005618746295%7C_p_origin_prod%3A&search_p4p_id=2026053006473720192082799637320000455199_1,"2,00","1,00","2,00",0,
Screw 12mm,50pcs Black 304 Stainless Steel Cross Phillips Ultra Thin Flat Wafer Head Screw CM M2 12mm,https://de.aliexpress.com/item/1005005618746295.html?spm=a2g0o.productlist.main.4.63914114lCoKUt&aem_p4p_detail=2026053006473720192082799637320000455199&algo_pvid=0870b828-57f4-460e-bb4d-24d66ea42b43&algo_exp_id=0870b828-57f4-460e-bb4d-24d66ea42b43-3&pdp_ext_f=%7B%22order%22%3A%227781%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21EUR%211.84%210.99%21%21%2114.15%217.61%21%40211b815c17801488578784923e56a8%2112000033767212213%21sea%21DE%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A3d5500f9%3Bm03_new_user%3A-29895%3BpisId%3A5000000207164174&curPageLogUid=XxoNdmk6hDMY&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005618746295%7C_p_origin_prod%3A&search_p4p_id=2026053006473720192082799637320000455199_1,"2,52","1,00","2,52",0,
Heat insert,50pcs M2 2mm,https://de.aliexpress.com/item/1005008318533389.html?spm=a2g0o.productlist.main.10.148bf357sDO7YZ&algo_pvid=93043f2c-1a3e-4605-82fc-b2b5f34a8c66&algo_exp_id=93043f2c-1a3e-4605-82fc-b2b5f34a8c66-9&pdp_ext_f=%7B%22order%22%3A%226599%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21EUR%212.66%210.99%21%21%2120.50%217.68%21%402103867617801490776097276e143e%2112000044592614413%21sea%21DE%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A3d5500f9%3Bm03_new_user%3A-29895%3BpisId%3A5000000207164174&curPageLogUid=AHZ569cp5Y2q&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008318533389%7C_p_origin_prod%3A,"2,66","1,00","2,66",0,
Switch,KCD1 15*21mm 2 Pin Boat Switch,https://de.aliexpress.com/item/1005007987928702.html?spm=a2g0o.productlist.main.8.169f7P0e7P0eUv&aem_p4p_detail=20260530103319495264379233600000356474&algo_pvid=7a102f82-9c97-4b4a-a57f-5d967b9d6163&algo_exp_id=7a102f82-9c97-4b4a-a57f-5d967b9d6163-7&pdp_ext_f=%7B%22order%22%3A%22346%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21EUR%211.90%210.99%21%21%2114.64%217.64%21%402103890917801623991051114e16dd%2112000043171708112%21sea%21DE%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A3d5500f9%3Bm03_new_user%3A-29895%3BpisId%3A5000000204872307&curPageLogUid=QICLjLCfIq9J&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007987928702%7C_p_origin_prod%3A&search_p4p_id=20260530103319495264379233600000356474_2,"0,38","5,00","1,90","18,91",
Servo,SG90,https://de.aliexpress.com/item/1005008107550639.html?spm=a2g0o.productlist.main.2.3f144b68DAi3NS&algo_pvid=3d231035-223c-470a-ba57-84288ef42aea&algo_exp_id=3d231035-223c-470a-ba57-84288ef42aea-1&pdp_ext_f=%7B%22order%22%3A%22176%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21EUR%211.91%210.99%21%21%212.17%211.12%21%402103846917801680600708482e7a9a%2112000043798549990%21sea%21DE%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A3d5500f9%3Bm03_new_user%3A-29895%3BpisId%3A5000000204872307&curPageLogUid=AHsX6x5rvIYS&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008107550639%7C_p_origin_prod%3A,"1,91","1,00","1,91",0,
,,,,,"222,71","40,22","262,93"
